phylum	class	order	family	genus	species	strain
Actinobacteria	Actinobacteria		Streptomycetaceae	Streptomyces	Streptomyces sp.	ST007384(HKI)
Actinobacteria	Actinobacteria		Streptomycetaceae	Streptomyces	Streptomyces sp.	ST007390(HKI)
Actinobacteria	Actinobacteria		Streptomycetaceae	Streptomyces	Streptomyces sp.	ST007394(HKI)
Actinobacteria	Actinobacteria		Streptomycetaceae	Streptomyces	Streptomyces sp.	ST007395(HKI)
Actinobacteria	Actinobacteria		Streptomycetaceae	Streptomyces	Streptomyces sp.	ST015884(HKI); BI 04822
Actinobacteria	Actinobacteria		Streptomycetaceae	Streptomyces	Streptomyces sp.	ST003242(HKI)
Actinobacteria	Actinobacteria		Streptomycetaceae	Streptomyces	Streptomyces sp.	ST003243(HKI)
Actinobacteria	Actinobacteria		Streptomycetaceae	Streptomyces	Streptomyces sp.	ST003251(HKI)
Actinobacteria	Actinobacteria		Streptomycetaceae	Streptomyces	Streptomyces sp.	ST003252(HKI)
Actinobacteria	Actinobacteria		Streptomycetaceae	Streptomyces	Streptomyces sp.	ST003260(HKI)
Actinobacteria	Actinobacteria		Streptomycetaceae	Streptomyces	Streptomyces sp.	ST003266(HKI)
Actinobacteria	Actinobacteria		Streptomycetaceae	Streptomyces	Streptomyces sp.	ST003270(HKI)
Actinobacteria	Actinobacteria		Streptomycetaceae	Streptomyces	Streptomyces sp.	ST003271(HKI)
Actinobacteria	Actinobacteria		Streptomycetaceae	Streptomyces	Streptomyces sp.	ST003277(HKI)
Actinobacteria	Actinobacteria		Streptomycetaceae	Streptomyces	Streptomyces sp.	ST003283(HKI)
Actinobacteria	Actinobacteria		Streptomycetaceae	Streptomyces	Streptomyces sp.	ST003284(HKI)
Actinobacteria	Actinobacteria		Streptomycetaceae	Streptomyces	Streptomyces sp.	ST003290(HKI)
Actinobacteria	Actinobacteria		Streptomycetaceae	Streptomyces	Streptomyces sp.	ST003291(HKI)
Actinobacteria	Actinobacteria		Streptomycetaceae	Streptomyces	Streptomyces sp.	ST003300(HKI)
Actinobacteria	Actinobacteria		Streptomycetaceae	Streptomyces	Streptomyces sp.	ST003301(HKI)
Actinobacteria	Actinobacteria		Streptomycetaceae	Streptomyces	Streptomyces sp.	ST003309(HKI)
Actinobacteria	Actinobacteria		Streptomycetaceae	Streptomyces	Streptomyces sp.	ST013611(HKI); BI 02421
Actinobacteria	Actinobacteria		Streptomycetaceae	Streptomyces	Streptomyces sp.	ST013613(HKI); BI 02423
