phylum	class	order	family	genus	species
Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Acidobacterium	Acidobacterium capsulatum
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Terriglobus	Terriglobus aquaticus
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Terriglobus	Terriglobus albidus
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Terriglobus	Terriglobus sp.
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidipila	Acidipila rosea
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Edaphobacter	Edaphobacter dinghuensis
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Occallatibacter	Occallatibacter riparius
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Occallatibacter	Occallatibacter savannae
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidipila	Acidipila dinghuensis
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Terracidiphilus	Terracidiphilus gabretensis
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Silvibacterium	Silvibacterium bohemicum
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidicapsa	Acidicapsa ferrireducens
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidicapsa	Acidicapsa acidiphila
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella acidiphila
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Edaphobacter	Edaphobacter lichenicola
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella sibirica
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Edaphobacter	Edaphobacter modestus
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Edaphobacter	Edaphobacter aggregans
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Terriglobus	Terriglobus roseus
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Terriglobus	Terriglobus saanensis
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella rosea
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella pectinivorans
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella aggregans
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella paludicola
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Telmatobacter	Telmatobacter bradus
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Bryocella	Bryocella elongata
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidicapsa	Acidicapsa borealis
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidicapsa	Acidicapsa ligni
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella arctica
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella mallensis
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella sapmiensis
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella tundricola
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidobacterium	Acidobacterium sp.
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Terriglobus	Terriglobus tenax
Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Granulicella	Granulicella cerasi
Acidobacteria	Acidobacteriia	Acidobacteriales		Solibacter	Solibacter usitatus
Acidobacteria	Acidobacteriia	Actinomycetales	Acidobacteriaceae	Acidobacterium	Acidobacterium ailaaui
Acidobacteria	Blastocatellia	Blastocatellales	Arenimicrobiaceae	Brevitalea	Brevitalea aridisoli
Acidobacteria	Blastocatellia	Blastocatellales	Arenimicrobiaceae	Brevitalea	Brevitalea deliciosa
Acidobacteria	Blastocatellia	Blastocatellales	Arenimicrobiaceae	Arenimicrobium	Arenimicrobium luteum
Acidobacteria	Blastocatellia	Blastocatellales	Blastocatellaceae	Stenotrophobacter	Stenotrophobacter namibiensis
